,LX.GGNV..HHE,LX.GGNV..HHN,LX.GGNV..HHZ,LX.GGNV..BHZ
0,1376.0,1396,216.0,504.0
1,1710.0,1312,-37.0,614.0
2,1809.0,1083,-37.0,416.0
3,1648.0,989,-91.0,669.0
4,1472.0,973,42.0,737.0
5,1479.0,915,414.0,350.0
6,1292.0,1091,789.0,771.0
7,712.0,1363,1000.0,701.0
8,451.0,1589,944.0,527.0
9,741.0,1662,826.0,742.0
10,1081.0,1496,541.0,774.0
11,1137.0,1464,78.0,744.0
12,1146.0,1411,-221.0,520.0
13,1485.0,1117,-107.0,659.0
14,1804.0,853,321.0,599.0
15,1660.0,790,514.0,430.0
16,1336.0,905,473.0,384.0
17,1309.0,1002,377.0,363.0
18,1286.0,1168,149.0,443.0
19,999.0,1473,33.0,174.0
20,861.0,1567,140.0,207.0
21,1111.0,1507,501.0,485.0
22,1461.0,1392,881.0,263.0
23,1474.0,1113,873.0,-120.0
24,1299.0,982,483.0,161.0
25,1315.0,1060,171.0,291.0
26,1439.0,1061,159.0,-124.0
27,1414.0,960,261.0,-143.0
28,1457.0,958,534.0,-34.0
29,1769.0,1041,829.0,-21.0
30,1926.0,1129,837.0,-76.0
31,1689.0,1311,575.0,118.0
32,1444.0,1504,300.0,-93.0
33,1396.0,1643,164.0,-165.0
34,1300.0,1561,125.0,360.0
35,1137.0,1199,117.0,15.0
36,1090.0,954,208.0,-38.0
37,1081.0,961,460.0,192.0
38,937.0,1031,690.0,208.0
39,805.0,1219,758.0,163.0
40,965.0,1547,689.0,179.0
41,1259.0,1777,585.0,421.0
42,1292.0,1754,562.0,227.0
43,1118.0,1529,540.0,375.0
44,1010.0,1263,476.0,522.0
45,1045.0,1072,501.0,452.0
46,1168.0,968,626.0,441.0
47,1148.0,1015,610.0,489.0
48,1091.0,1196,483.0,542.0
49,1313.0,1176,634.0,573.0
50,1495.0,972,914.0,608.0
51,1441.0,890,994.0,553.0
52,1254.0,873,698.0,624.0
53,1103.0,796,215.0,446.0
54,1149.0,740,85.0,687.0
55,1230.0,862,234.0,765.0
56,1478.0,1035,477.0,658.0
57,1901.0,1130,821.0,733.0
58,2083.0,1150,1097.0,647.0
59,1909.0,1164,1074.0,698.0
60,1620.0,1102,726.0,607.0
61,1494.0,855,437.0,767.0
62,1405.0,823,284.0,863.0
63,1122.0,1056,229.0,683.0
64,911.0,1164,350.0,487.0
65,877.0,1134,538.0,749.0
66,953.0,1097,810.0,693.0
67,1145.0,1080,972.0,614.0
68,1334.0,1089,795.0,790.0
69,1439.0,1055,605.0,434.0
70,1388.0,1009,577.0,581.0
71,1248.0,1033,490.0,602.0
72,1063.0,1019,320.0,529.0
73,961.0,980,241.0,498.0
74,877.0,961,403.0,590.0
75,675.0,897,712.0,583.0
76,647.0,937,868.0,349.0
77,796.0,1065,868.0,646.0
78,1008.0,1117,961.0,485.0
79,1121.0,1063,968.0,284.0
80,1155.0,841,744.0,465.0
81,1388.0,719,468.0,360.0
82,1522.0,836,267.0,389.0
83,1353.0,921,281.0,354.0
84,1244.0,945,444.0,70.0
85,1359.0,907,723.0,224.0
86,1583.0,886,1037.0,427.0
87,1739.0,1002,1077.0,269.0
88,1651.0,1063,798.0,130.0
89,1639.0,917,468.0,258.0
90,1648.0,705,407.0,238.0
91,1344.0,652,463.0,14.0
92,1111.0,650,508.0,103.0
93,1196.0,655,613.0,195.0
94,1420.0,797,709.0,105.0
95,1518.0,995,797.0,-44.0
96,1438.0,1043,635.0,24.0
97,1511.0,786,491.0,257.0
98,1754.0,503,667.0,44.0
99,1818.0,433,777.0,-70.0
100,1666.0,500,656.0,191.0
101,1382.0,520,517.0,70.0
102,1174.0,449,591.0,-28.0
103,1040.0,556,643.0,248.0
104,806.0,673,531.0,85.0
105,840.0,722,513.0,60.0
106,1181.0,875,647.0,227.0
107,1313.0,1026,771.0,-1.0
108,1151.0,1056,690.0,-118.0
109,1103.0,851,576.0,168.0
110,1224.0,697,643.0,98.0
111,1114.0,835,739.0,-372.0
112,781.0,1129,658.0,86.0
113,782.0,1294,482.0,-25.0
114,1090.0,1141,522.0,-14.0
115,1203.0,918,620.0,389.0
116,1240.0,934,520.0,65.0
117,1436.0,1046,400.0,137.0
118,1633.0,929,476.0,7.0
119,1578.0,792,590.0,165.0
120,1306.0,835,541.0,216.0
121,1043.0,923,405.0,32.0
122,890.0,994,306.0,288.0
123,892.0,1080,282.0,342.0
124,1044.0,1153,417.0,391.0
125,1308.0,1048,753.0,264.0
126,1518.0,829,1059.0,124.0
127,1467.0,672,1163.0,216.0
128,1143.0,596,952.0,133.0
129,913.0,505,586.0,487.0
130,1015.0,462,430.0,404.0
131,1036.0,670,479.0,125.0
132,855.0,981,499.0,420.0
133,796.0,993,441.0,207.0
134,863.0,735,502.0,274.0
135,1031.0,587,586.0,224.0
136,1118.0,647,572.0,308.0
137,1105.0,776,568.0,466.0
138,1325.0,785,526.0,199.0
139,1512.0,737,423.0,400.0
140,1403.0,780,243.0,725.0
141,1223.0,780,244.0,325.0
142,1193.0,785,530.0,94.0
143,1206.0,920,896.0,643.0
144,1093.0,1062,1096.0,251.0
145,1145.0,1137,893.0,380.0
146,1442.0,1174,629.0,535.0
147,1658.0,1209,525.0,87.0
148,1616.0,1219,469.0,286.0
149,1421.0,1149,436.0,64.0
150,1351.0,1057,520.0,227.0
151,1361.0,1183,643.0,368.0
152,1309.0,1509,552.0,59.0
153,1393.0,1619,485.0,420.0
154,1585.0,1503,682.0,375.0
155,1562.0,1340,883.0,140.0
156,1274.0,1205,762.0,493.0
157,1057.0,1125,490.0,254.0
158,1193.0,1010,361.0,306.0
159,1396.0,1000,267.0,549.0
160,1371.0,1122,242.0,286.0
161,1392.0,1250,364.0,348.0
162,1530.0,1168,684.0,627.0
163,1530.0,862,957.0,312.0
164,1357.0,610,789.0,231.0
165,1233.0,473,499.0,544.0
166,1349.0,490,401.0,371.0
167,1488.0,522,492.0,664.0
168,1424.0,499,659.0,335.0
169,1469.0,603,681.0,295.0
170,1669.0,725,643.0,605.0
171,1586.0,630,723.0,319.0
172,1228.0,357,801.0,538.0
173,985.0,198,757.0,454.0
174,1051.0,249,718.0,467.0
175,1140.0,493,679.0,398.0
176,1019.0,751,431.0,434.0
177,1033.0,802,309.0,423.0
178,1277.0,900,593.0,505.0
179,1277.0,1145,761.0,408.0
180,1042.0,1279,492.0,182.0
181,1143.0,1156,232.0,705.0
182,1553.0,1002,343.0,316.0
183,1850.0,1052,567.0,326.0
184,1858.0,1115,592.0,435.0
185,1758.0,1158,369.0,459.0
186,1959.0,1322,140.0,651.0
187,1999.0,1500,49.0,274.0
188,1560.0,1504,-73.0,373.0
189,1224.0,1396,-129.0,437.0
190,1226.0,1235,127.0,468.0
191,1366.0,968,493.0,584.0
192,1294.0,835,670.0,521.0
193,1164.0,685,706.0,341.0
194,1302.0,377,689.0,670.0
195,1515.0,286,676.0,633.0
196,1520.0,401,550.0,369.0
197,1279.0,647,323.0,523.0
198,1098.0,881,365.0,674.0
199,1044.0,966,587.0,692.0
200,1016.0,948,629.0,441.0
201,1080.0,612,464.0,613.0
202,1209.0,267,408.0,277.0
203,1405.0,378,466.0,576.0
204,1538.0,719,225.0,580.0
205,1654.0,954,-124.0,344.0
206,1848.0,910,-125.0,844.0
207,1995.0,767,253.0,174.0
208,1913.0,857,587.0,591.0
209,1734.0,1001,557.0,542.0
210,1896.0,922,457.0,234.0
211,2038.0,855,465.0,572.0
212,1847.0,843,529.0,425.0
213,1531.0,738,594.0,276.0
214,1358.0,718,596.0,304.0
215,1435.0,922,593.0,434.0
216,1362.0,1226,429.0,-259.0
217,1376.0,1381,190.0,439.0
218,1671.0,1180,166.0,459.0
219,1807.0,917,279.0,-81.0
220,1738.0,841,408.0,350.0
221,1621.0,749,452.0,183.0
222,1697.0,591,409.0,163.0
223,1984.0,415,363.0,-60.0
224,2039.0,531,284.0,144.0
225,1768.0,726,147.0,320.0
226,1614.0,620,91.0,-270.0
227,1570.0,707,355.0,-29.0
228,1402.0,999,560.0,161.0
229,1356.0,1084,384.0,-78.0
230,1518.0,872,358.0,135.0
231,1599.0,437,398.0,-117.0
232,1521.0,174,295.0,160.0
233,1577.0,350,259.0,33.0
234,1857.0,587,266.0,-258.0
235,1964.0,694,382.0,242.0
236,1643.0,821,457.0,24.0
237,1182.0,858,375.0,67.0
238,1112.0,796,412.0,179.0
239,1292.0,633,631.0,84.0
240,1226.0,586,668.0,261.0
241,1165.0,803,399.0,197.0
242,1370.0,894,131.0,175.0
243,1560.0,907,61.0,239.0
244,1473.0,1063,108.0,268.0
245,1327.0,1277,22.0,227.0
246,1420.0,1463,-128.0,415.0
247,1632.0,1357,-12.0,676.0
248,1724.0,1132,198.0,270.0
249,1692.0,1080,264.0,427.0
250,1843.0,988,362.0,548.0
251,2028.0,946,592.0,607.0
252,1812.0,1048,717.0,545.0
253,1556.0,1129,552.0,369.0
254,1566.0,1149,386.0,846.0
255,1638.0,1029,419.0,481.0
256,1646.0,877,396.0,634.0
257,1609.0,982,139.0,620.0
258,1689.0,1083,-91.0,408.0
259,1745.0,988,-47.0,787.0
260,1641.0,908,56.0,540.0
261,1612.0,806,149.0,584.0
262,1610.0,701,402.0,621.0
263,1479.0,561,767.0,389.0
264,1334.0,484,815.0,552.0
265,1266.0,519,462.0,669.0
266,1416.0,535,175.0,219.0
267,1699.0,545,40.0,263.0
268,1725.0,483,-60.0,701.0
269,1609.0,415,-129.0,326.0
270,1664.0,402,-4.0,213.0
271,1714.0,409,380.0,700.0
272,1487.0,532,535.0,338.0
273,1203.0,791,267.0,261.0
274,1134.0,986,-44.0,596.0
275,1103.0,1078,-129.0,207.0
276,965.0,1178,-33.0,334.0
277,730.0,1307,20.0,451.0
278,741.0,1380,245.0,300.0
279,1298.0,1260,631.0,241.0
280,1722.0,1056,618.0,210.0
281,1646.0,967,220.0,163.0
282,1650.0,1008,-109.0,193.0
283,1780.0,1015,34.0,245.0
284,1699.0,1015,403.0,195.0
285,1520.0,1231,510.0,319.0
286,1489.0,1445,473.0,22.0
287,1727.0,1311,550.0,332.0
288,1896.0,1058,652.0,251.0
289,1638.0,1074,608.0,96.0
290,1328.0,1277,456.0,377.0
291,1227.0,1352,225.0,-9.0
292,1142.0,1256,12.0,185.0
293,970.0,1154,-179.0,240.0
294,988.0,1038,-253.0,285.0
295,1216.0,853,50.0,220.0
296,1343.0,798,348.0,236.0
297,1397.0,961,380.0,287.0
298,1501.0,1157,303.0,118.0
299,1664.0,1223,220.0,486.0
300,1618.0,1149,175.0,161.0
301,1309.0,1084,24.0,250.0
302,1174.0,1091,-72.0,660.0
303,1339.0,1140,50.0,208.0
304,1349.0,1206,262.0,261.0
305,1018.0,1259,316.0,384.0
306,805.0,1222,187.0,353.0
